state,month_year,cocaine,heroin,methadone,number_of_deaths,number_drug_overdose_death,opioids,percent_drugs_specified,psychostimulants,unemployment_data
HI,Nov-2017,0,0,0,11450,201,0,0,0,2.2
HI,Oct-2015,0,0,0,11187,156,0,0,0,3.3
HI,Oct-2016,0,0,0,10870,193,0,0,0,2.9
HI,Oct-2017,0,0,0,11391,199,0,0,0,2.2
HI,Sep-2015,0,0,0,11154,153,0,0,0,3.4
HI,Sep-2016,0,0,0,10824,194,0,0,0,2.9
HI,Sep-2017,0,0,0,11426,196,0,0,0,2.3
IA,Apr-2015,0,0,0,29412,265,0,0,0,3.8
IA,Apr-2016,0,0,0,28908,316,0,0,0,3.6
IA,Apr-2017,0,0,0,29999,319,0,0,0,3.2
IA,Apr-2018,0,0,0,30146,325,0,0,0,2.6
IA,Aug-2015,0,0,0,29667,296,0,0,0,3.7
IA,Aug-2016,0,0,0,28760,309,0,0,0,3.6
IA,Aug-2017,0,0,0,30109,338,0,0,0,3.0
IA,Aug-2018,0,0,0,30288,292,0,0,0,2.4
IA,Dec-2015,0,0,0,29291,300,0,0,0,3.7
IA,Dec-2016,0,0,0,29318,314,0,0,0,3.5
IA,Dec-2017,0,0,0,30242,341,0,0,0,2.8
IA,Feb-2015,0,0,0,29203,274,0,0,0,3.9
IA,Feb-2016,0,0,0,29156,304,0,0,0,3.6
IA,Feb-2017,0,0,0,29703,330,0,0,0,3.3
IA,Feb-2018,0,0,0,30193,331,0,0,0,2.7
IA,Jan-2015,0,0,0,29177,274,0,0,0,3.9
IA,Jan-2016,0,0,0,29031,303,0,0,0,3.6
IA,Jan-2017,0,0,0,29622,325,0,0,0,3.4
IA,Jan-2018,0,0,0,30144,336,0,0,0,2.8
IA,Jul-2015,0,0,0,29649,298,0,0,0,3.7
IA,Jul-2016,0,0,0,28746,304,0,0,0,3.6
IA,Jul-2017,0,0,0,30210,334,0,0,0,3.1
IA,Jul-2018,0,0,0,30184,303,0,0,0,2.4
IA,Jun-2015,0,0,0,29533,289,0,0,0,3.8
IA,Jun-2016,0,0,0,28863,310,0,0,0,3.6
IA,Jun-2017,0,0,0,30213,332,0,0,0,3.1
IA,Jun-2018,0,0,0,30120,306,0,0,0,2.5
IA,Mar-2015,0,0,0,29380,272,0,0,0,3.9
IA,Mar-2016,0,0,0,28911,309,0,0,0,3.6
IA,Mar-2017,0,0,0,29945,330,0,0,0,3.3
IA,Mar-2018,0,0,0,30109,326,0,0,0,2.7
IA,May-2015,0,0,0,29462,277,0,0,0,3.8
IA,May-2016,0,0,0,28909,318,0,0,0,3.6
